Word,Count,Files,Source Types,First Location
"ruby",41501,227,"md","_english_words_all.md"
"trong",7057,823,"json/md","_english_words_all.md"
"cho",6712,916,"json/md","_english_words_all.md"
"khi",5615,790,"json/md","_english_words_all.md"
"anh",4773,685,"json/md","_english_words_all.md"
"quan",4600,726,"json/md","_english_words_all.md"
"sau",3806,798,"json/md","_english_words_all.md"
"xin",3083,532,"json/md","_english_words_all.md"
"theo",2837,557,"json/md","_english_words_all.md"
"Hoa",2823,104,"json/md","_english_words_all.md"
"Tanaka",2462,339,"json/md","_english_words_all.md"
"Mai",2438,254,"json/md","_english_words_all.md"
"Anh",2388,556,"json/md","_english_words_all.md"
"qua",2333,527,"json/md","_english_words_all.md"
"zun",2295,324,"json/md","_english_words_all.md"
"male",2172,295,"json/md","_english_words_all.md"
"tin",2166,385,"json/md","_english_words_all.md"
"cao",1989,399,"json/md","_english_words_all.md"
"Khi",1919,391,"json/md","_english_words_all.md"
"Scene",1897,244,"json/md","_english_words_all.md"
"thay",1830,379,"json/md","_english_words_all.md"
"gia",1690,340,"json/md","_english_words_all.md"
"gian",1683,398,"json/md","_english_words_all.md"
"mail",1675,234,"json/md","_english_words_all.md"
"Linh",1591,284,"json/md","_english_words_all.md"
"ngay",1561,433,"json/md","_english_words_all.md"
"tay",1556,267,"json/md","_english_words_all.md"
"nay",1538,437,"json/md","_english_words_all.md"
"sai",1484,346,"json/md","_english_words_all.md"
"sinh",1454,314,"json/md","_english_words_all.md"
"con",1441,252,"json/md","_english_words_all.md"
"sao",1409,506,"json/md","_english_words_all.md"
"xem",1382,400,"json/md","_english_words_all.md"
"formal",1380,447,"json/md","_english_words_all.md"
"sang",1322,458,"json/md","_english_words_all.md"
"hai",1313,284,"json/md","_english_words_all.md"
"nghe",1310,356,"json/md","_english_words_all.md"
"Matsumoto",1280,286,"json/md","_english_words_all.md"
"nhau",1246,291,"json/md","_english_words_all.md"
"Slack",1206,185,"json/md","_english_words_all.md"
"hay",1199,331,"json/md","_english_words_all.md"
"Vocab",1187,576,"json/md","_english_words_all.md"
"Tokyo",1152,214,"json/md","_english_words_all.md"
"senior",1085,202,"json/md","_english_words_all.md"
"trang",1047,212,"json/md","_english_words_all.md"
"Kenjougo",1021,20,"json/md","_english_words_all.md"
"Hizashi",984,200,"json/md","_english_words_all.md"
"Suzuki",981,134,"json/md","_english_words_all.md"
"tham",970,255,"json/md","_english_words_all.md"
"Trong",947,276,"json/md","_english_words_all.md"
"doanh",923,160,"json/md","_english_words_all.md"
"kinh",922,193,"json/md","_english_words_all.md"
"trung",920,258,"json/md","_english_words_all.md"
"danh",888,225,"json/md","_english_words_all.md"
"xong",879,361,"json/md","_english_words_all.md"
"review",858,219,"json/md","_english_words_all.md"
"quy",847,215,"json/md","_english_words_all.md"
"ghi",838,284,"json/md","_english_words_all.md"
"Osaka",825,190,"json/md","_english_words_all.md"
"Sau",813,333,"json/md","_english_words_all.md"
"quen",806,185,"json/md","_english_words_all.md"
"team",805,188,"json/md","_english_words_all.md"
"Sonkeigo",804,19,"json/md","_english_words_all.md"
"single",771,52,"json/md","_english_words_all.md"
"CTO",768,181,"json/md","_english_words_all.md"
"vui",764,190,"json/md","25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md"
"thi",748,207,"json/md","25_dai_brse_year1/_pipeline/07_council/domain_expert.md"
"email",743,205,"json/md","_english_words_all.md"
"Ghi",740,295,"json/md","reading_collection/n3_advanced_drafts/N3_ADV_PLAN.md"
"CFO",717,140,"json/md","07_visit_card/output/_combined.md"
"Xin",708,206,"json/md","25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md"
"chi",702,260,"json/md","_english_words_all.md"
"dung",697,237,"json/md","01_email/README.md"
"tra",694,223,"json/md","reading_collection/n3_basic_drafts/N3_BASIC_PLAN_PART2.md"
"mang",692,222,"json/md","_english_words_all.md"
"Yamada",678,112,"json/md","25_dai_brse_year1/_pipeline/06_consistency.md"
"giao",669,224,"json/md","_english_words_all.md"
"chia",655,238,"json/md","01_email/README.md"
"tinh",647,155,"json/md","25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md"
"Nam",618,174,"json/md","_english_words_all.md"
"warm",599,264,"json/md","11_jisshusei_shokuhin/t11_shourai_keikaku/t11_ShouraiKeikaku_LyThuyet.md"
"deadline",597,148,"json/md","_english_words_all.md"
"check",591,216,"json/md","_english_words_all.md"
"mua",591,106,"json/md","25_dai_brse_year1/t09_hizashi_v1_launch/t09_HizashiV1Launch_HoiThoai.md"
"line",583,156,"json/md","_english_words_all.md"
"nhanh",574,228,"json/md","25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md"
"thu",573,149,"json/md","25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md"
"suy",561,145,"json/md","_english_words_all.md"
"san",552,132,"json/md","25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md"
"chung",544,213,"json/md","reading_collection/READING_SPEC.md"
"lai",536,120,"json/md","25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md"
"Hana",532,73,"json/md","_english_words_all.md"
"meeting",532,141,"json/md","_english_words_all.md"
"mong",525,195,"json/md","_english_words_all.md"
"matsumoto",525,137,"json/md","02_phone/README.md"
"business",515,206,"json/md","01_email/README.md"
"Uchi",509,20,"json/md","11_jisshusei_shokuhin/t08_iso_audit/t08_IsoAudit_LyThuyet.md"
"Soto",491,20,"json/md","10_business_japanese/2.1.5_uchi_soto/2.1.5_UchiSoto_LyThuyet.md"
"chon_dap_an",486,15,"json/md","11_jisshusei_shokuhin/_pipeline/03_draft.md"
"Yumi",479,90,"json/md","_english_words_all.md"
"slide",476,99,"json/md","25_dai_brse_year1/t08_hizashi_v1_prep/t08_HizashiV1Prep_HoiThoai.md"
"neutral",476,242,"json/md","11_jisshusei_shokuhin/t07_matsuri_seikatsu/t07_MatsuriSeikatsu_LyThuyet.md"
"Danh",474,66,"json/md","_english_words_all.md"
"host",473,85,"json/md","_english_words_all.md"
"Hai",472,204,"json/md","_english_words_all.md"
"BJT",471,130,"json/md","_english_words_all.md"
"duy",470,154,"json/md","reading_collection/READING_SPEC.md"
"vocab",464,115,"json/md","02_phone/README.md"
"junior",462,116,"json/md","_english_words_all.md"
"Theo",462,138,"json/md","07_visit_card/meta/mục_lục.md"
"bay",450,115,"json/md","25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md"
"Trung",446,110,"json/md","07_visit_card/output/_combined.md"
"Scenario",445,64,"json/md","07_visit_card/output/_combined.md"
"Mail",441,81,"json/md","07_visit_card/output/_combined.md"
"TTS",439,110,"json/md","_english_words_all.md"
"online",435,103,"json/md","25_dai_brse_year1/t09_hizashi_v1_launch/t09_HizashiV1Launch_HoiThoai.md"
"female",426,118,"json/md","02_phone/meta/REVIEW_FINDINGS_v1.1.md"
"bao",423,217,"json/md","25_dai_brse_year1/_pipeline/05_jp_vn_review.md"
"scope",423,122,"json/md","25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md"
"share",422,139,"json/md","25_dai_brse_year1/t04_hizashi_v0_8_iterate/t04_HizashiV08Iterate_HoiThoai.md"
"grammar",420,41,"json/md","25_dai_brse_year1/_pipeline/07_council/pedagogue.md"
"Tony",416,95,"json/md","_english_words_all.md"
"vai",415,157,"json/md","_english_words_all.md"
"Nakamura",402,122,"json/md","07_visit_card/output/_combined.md"
"Senior",398,119,"json/md","25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md"
"hoa",397,87,"json/md","reading_collection/n3_advanced_drafts/N3_ADV_PLAN.md"
"oogaki_sales",390,108,"json/md","_english_words_all.md"
"MAJ",386,46,"md","25_dai_brse_year1/_pipeline/05_jp_vn_review.md"
"string",384,13,"json/md","_english_words_all.md"
"reply",381,106,"json/md","25_dai_brse_year1/_pipeline/07_council/linguist.md"
"LINE",376,137,"json/md","_english_words_all.md"
"pitch",373,100,"json/md","25_dai_brse_year1/t12_year1_close_decision/t12_Year1CloseDecision_HoiThoai.md"
"quay",372,137,"json/md","_english_words_all.md"
"Email",370,112,"json/md","01_email/README.md"
"phong",367,120,"json/md","reading_collection/n3_advanced_drafts/N3_ADV_PLAN.md"
