TỪ TIẾNG ANH THỰC SỰ (SAU KHI LỌC)
================================================================================
Tổng cộng: 393 từ
TOP 50 TỪ TIẾNG ANH THỰC SỰ:
STT  Từ                        Lần     
--------------------------------------------------------------------------------
1    ruby                      41501   
2    male                      2172    
3    Scene                     1897    
4    mail                      1675    
5    formal                    1380    
6    Slack                     1206    
7    Vocab                     1187    
8    Tokyo                     1152    
9    senior                    1085    
10   Kenjougo                  1021    
11   review                    858     
12   Osaka                     825     
13   team                      805     
14   Sonkeigo                  804     
15   single                    771     
16   CTO                       768     
17   email                     743     
18   CFO                       717     
19   warm                      599     
20   deadline                  597     
21   meeting                   532     
22   business                  515     
23   chon_dap_an               486     
24   slide                     476     
25   neutral                   476     
26   host                      473     
27   BJT                       471     
28   duy                       470     
29   vocab                     464     
30   junior                    462     
31   bay                       450     
32   Scenario                  445     
33   Mail                      441     
34   TTS                       439     
35   online                    435     
36   female                    426     
37   bao                       423     
38   scope                     423     
39   share                     422     
40   grammar                   420     
41   Tony                      416     
42   vai                       415     
43   Nakamura                  402     
44   Senior                    398     
45   oogaki_sales              390     
46   MAJ                       386     
47   string                    384     
48   reply                     381     
49   pitch                     373     
50   quay                      372     
