STT,Từ Tiếng Anh,Số lần,Số file,Nguồn,Gợi ý tiếng Việt
1,ruby,41501,227,md,<ruby> (HTML tag cho chú âm)
2,trong,7057,823,json/md,(từ Việt)
3,cho,6712,916,json/md,(từ Việt)
4,khi,5615,790,json/md,(từ Việt)
5,anh,4773,685,json/md,(từ Việt)
6,quan,4600,726,json/md,(từ Việt)
7,sau,3806,798,json/md,(từ Việt)
8,xin,3083,532,json/md,(từ Việt)
9,theo,2837,557,json/md,(từ Việt)
10,Hoa,2823,104,json/md,Hoa (nhân vật chính)
11,Tanaka,2462,339,json/md,Tanaka (nhân vật)
12,Mai,2438,254,json/md,Mai (nhân vật)
13,Anh,2388,556,json/md,Anh (từ/nhân vật)
14,qua,2333,527,json/md,(từ Việt)
15,zun,2295,324,json/md,(từ Việt)
16,male,2172,295,json/md,nam/đực
17,tin,2166,385,json/md,(từ Việt)
18,cao,1989,399,json/md,(từ Việt)
19,Khi,1919,391,json/md,Khi (từ Việt)
20,Scene,1897,244,json/md,Cảnh/Cảnh quay
21,thay,1830,379,json/md,(từ Việt)
22,gia,1690,340,json/md,(từ Việt)
23,gian,1683,398,json/md,(từ Việt)
24,mail,1675,234,json/md,thư/email
25,Linh,1591,284,json/md,Linh (nhân vật)
26,ngay,1561,433,json/md,(từ Việt)
27,tay,1556,267,json/md,(từ Việt)
28,nay,1538,437,json/md,(từ Việt)
29,sai,1484,346,json/md,(từ Việt)
30,sinh,1454,314,json/md,(từ Việt)
31,con,1441,252,json/md,(từ Việt)
32,sao,1409,506,json/md,(từ Việt)
33,xem,1382,400,json/md,(từ Việt)
34,formal,1380,447,json/md,chính thức/trang trọng
35,sang,1322,458,json/md,(từ Việt)
36,hai,1313,284,json/md,(từ Việt)
37,nghe,1310,356,json/md,(từ Việt)
38,Matsumoto,1280,286,json/md,Matsumoto (nhân vật)
39,nhau,1246,291,json/md,(từ Việt)
40,Slack,1206,185,json/md,Slack (ứng dụng)
41,hay,1199,331,json/md,(từ Việt)
42,Vocab,1187,576,json/md,Từ vựng
43,Tokyo,1152,214,json/md,Tôkyô (thành phố)
44,senior,1085,202,json/md,cấp cao/cao cấp
45,trang,1047,212,json/md,(từ Việt)
46,Kenjougo,1021,20,json/md,Khoảng cách/Kính ngữ
47,Hizashi,984,200,json/md,Hizashi (tên dự án)
48,Suzuki,981,134,json/md,Suzuki (nhân vật)
