GỢI Ý THAY THẾ: TIẾNG ANH → TIẾNG VIỆT (CÓ DẤU)
========================================================================================================================

Tổng số từ: 13870
Ngày tạo: 2026-04-30

TOP 100 TỪCẦN ƯU TIÊN THAY THẾ
------------------------------------------------------------------------------------------------------------------------
STT   Từ Anh               Lần      File   Gợi ý Tiếng Việt                                  
------------------------------------------------------------------------------------------------------------------------
1     ruby                 41501    227    <ruby> (HTML tag cho chú âm)                      
2     trong                7057     823    (từ Việt)                                         
3     cho                  6712     916    (từ Việt)                                         
4     khi                  5615     790    (từ Việt)                                         
5     anh                  4773     685    (từ Việt)                                         
6     quan                 4600     726    (từ Việt)                                         
7     sau                  3806     798    (từ Việt)                                         
8     xin                  3083     532    (từ Việt)                                         
9     theo                 2837     557    (từ Việt)                                         
10    Hoa                  2823     104    Hoa (nhân vật chính)                              
11    Tanaka               2462     339    Tanaka (nhân vật)                                 
12    Mai                  2438     254    Mai (nhân vật)                                    
13    Anh                  2388     556    Anh (từ/nhân vật)                                 
14    qua                  2333     527    (từ Việt)                                         
15    zun                  2295     324    (từ Việt)                                         
16    male                 2172     295    nam/đực                                           
17    tin                  2166     385    (từ Việt)                                         
18    cao                  1989     399    (từ Việt)                                         
19    Khi                  1919     391    Khi (từ Việt)                                     
20    Scene                1897     244    Cảnh/Cảnh quay                                    
21    thay                 1830     379    (từ Việt)                                         
22    gia                  1690     340    (từ Việt)                                         
23    gian                 1683     398    (từ Việt)                                         
24    mail                 1675     234    thư/email                                         
25    Linh                 1591     284    Linh (nhân vật)                                   
26    ngay                 1561     433    (từ Việt)                                         
27    tay                  1556     267    (từ Việt)                                         
28    nay                  1538     437    (từ Việt)                                         
29    sai                  1484     346    (từ Việt)                                         
30    sinh                 1454     314    (từ Việt)                                         
31    con                  1441     252    (từ Việt)                                         
32    sao                  1409     506    (từ Việt)                                         
33    xem                  1382     400    (từ Việt)                                         
34    formal               1380     447    chính thức/trang trọng                            
35    sang                 1322     458    (từ Việt)                                         
36    hai                  1313     284    (từ Việt)                                         
37    nghe                 1310     356    (từ Việt)                                         
38    Matsumoto            1280     286    Matsumoto (nhân vật)                              
39    nhau                 1246     291    (từ Việt)                                         
40    Slack                1206     185    Slack (ứng dụng)                                  
41    hay                  1199     331    (từ Việt)                                         
42    Vocab                1187     576    Từ vựng                                           
43    Tokyo                1152     214    Tôkyô (thành phố)                                 
44    senior               1085     202    cấp cao/cao cấp                                   
45    trang                1047     212    (từ Việt)                                         
46    Kenjougo             1021     20     Khoảng cách/Kính ngữ                              
47    Hizashi              984      200    Hizashi (tên dự án)                               
48    Suzuki               981      134    Suzuki (nhân vật)                                 
49    tham                 970      255    (từ Việt)                                         
50    Trong                947      276    Trong (nhân vật/từ Việt)                          
51    doanh                923      160    (từ Việt)                                         
52    kinh                 922      193    (từ Việt)                                         
53    trung                920      258    (từ Việt)                                         
54    danh                 888      225    (từ Việt)                                         
55    xong                 879      361    (từ Việt)                                         
56    review               858      219    đánh giá/xem xét                                  
57    quy                  847      215    (từ Việt)                                         
58    ghi                  838      284    (từ Việt)                                         
59    Osaka                825      190    Ôsaka (thành phố)                                 
60    Sau                  813      333    (chưa gợi ý)                                      
61    quen                 806      185    (từ Việt)                                         
62    team                 805      188    đội/nhóm                                          
63    Sonkeigo             804      19     Kính ngữ tôn trọng                                
64    single               771      52     đơn/lẻ                                            
65    CTO                  768      181    Giám đốc Công nghệ                                
66    vui                  764      190    (từ Việt)                                         
67    thi                  748      207    (từ Việt)                                         
68    email                743      205    thư điện tử                                       
69    Ghi                  740      295    Ghi (từ Việt)                                     
70    CFO                  717      140    Giám đốc Tài chính                                
71    Xin                  708      206    Xin (từ Việt)                                     
72    chi                  702      260    (từ Việt)                                         
73    dung                 697      237    (từ Việt)                                         
74    tra                  694      223    (từ Việt)                                         
75    mang                 692      222    (từ Việt)                                         
76    Yamada               678      112    Yamada (nhân vật)                                 
77    giao                 669      224    (từ Việt)                                         
78    chia                 655      238    (từ Việt)                                         
79    tinh                 647      155    (từ Việt)                                         
80    Nam                  618      174    Nam (nhân vật)                                    
81    warm                 599      264    ấm/ấm áp                                          
82    deadline             597      148    hạn chót                                          
83    check                591      216    kiểm tra/xác nhận                                 
84    mua                  591      106    (từ Việt)                                         
85    line                 583      156    dòng/hàng                                         
86    nhanh                574      228    (từ Việt)                                         
87    thu                  573      149    (từ Việt)                                         
88    suy                  561      145    (từ Việt)                                         
89    san                  552      132    (từ Việt)                                         
90    chung                544      213    (từ Việt)                                         
91    lai                  536      120    (từ Việt)                                         
92    Hana                 532      73     Hana (nhân vật)                                   
93    meeting              532      141    cuộc họp                                          
94    mong                 525      195    (từ Việt)                                         
95    matsumoto            525      137    (chưa gợi ý)                                      
96    business             515      206    kinh doanh                                        
97    Uchi                 509      20     Trong/Nội bộ                                      
98    Soto                 491      20     Ngoài/Bên ngoài                                   
99    chon_dap_an          486      15     chọn đáp án                                       
100   Yumi                 479      90     (chưa gợi ý)                                      
------------------------------------------------------------------------------------------------------------------------

CHÚ THÍCH:
------------------------------------------------------------------------------------------------------------------------
- Từ Việt: từ đã là tiếng Việt, không cần thay (được script nhầm detect)
- Tên riêng: tên nhân vật, địa danh (nên giữ nguyên hoặc giữ katakana Nhật)
- HTML/Tag: <ruby>, v.v. (kỹ thuật, giữ nguyên)
- Metadata: field names, key (kỹ thuật, nên giữ English theo convention)
