STT,Từ Tiếng Anh,Số lần,Số file,Gợi ý Tiếng Việt
1,ruby,41501,227,<ruby> (HTML tag chú âm) — GIỮ
2,male,2172,295,nam/đực
3,Scene,1897,244,Cảnh/Cảnh quay
4,mail,1675,234,thư/email
5,formal,1380,447,chính thức/trang trọng
6,Slack,1206,185,Slack (ứng dụng) — GIỮ
7,Vocab,1187,576,Từ vựng
8,Tokyo,1152,214,Tôkyô
9,senior,1085,202,cấp cao/cao cấp
10,Kenjougo,1021,20,Khoảng cách/Kính ngữ
11,Hizashi,984,200,Hizashi — GIỮ
12,Suzuki,981,134,Suzuki — GIỮ
13,Osaka,825,190,Ôsaka
14,team,805,188,đội/nhóm
15,Sonkeigo,804,19,Kính ngữ tôn trọng
16,single,771,52,đơn/lẻ
17,CTO,768,181,Giám đốc Công nghệ
18,email,743,205,thư điện tử
19,CFO,717,140,Giám đốc Tài chính
20,warm,599,264,ấm/ấm áp
21,deadline,597,148,hạn chót
22,meeting,532,141,cuộc họp
23,business,515,206,kinh doanh
24,slide,476,99,slide/trang chiếu
25,neutral,476,242,trung lập
26,host,473,85,chủ/người chủ trì
27,BJT,471,130,BJT — GIỮ
28,vocab,464,115,từ vựng
29,junior,462,116,cấp thấp/trẻ
30,bay,450,115,bay
31,Scenario,445,64,Tình huống/Kịch bản
32,Mail,441,81,Thư/Email
33,TTS,439,110,TTS (Text-to-Speech) — GIỮ
34,online,435,103,trực tuyến
35,female,426,118,nữ/cái
36,bao,423,217,bao
37,scope,423,122,phạm vi
38,share,422,139,chia sẻ
39,grammar,420,41,ngữ pháp
40,Tony,416,95,Tony — GIỮ
41,vai,415,157,vai trò
42,Nakamura,402,122,Nakamura — GIỮ
43,Senior,398,119,Cấp cao
44,oogaki_sales,390,108,oogaki_sales
45,MAJ,386,46,MAJ — GIỮ
46,string,384,13,chuỗi
47,reply,381,106,trả lời
48,pitch,373,100,pitch/trình bày
49,quay,372,137,quay
50,Email,370,112,Thư điện tử
51,phong,367,120,phòng
52,Cty,361,104,Công ty
53,style,361,84,phong cách
54,Inoue,358,62,Inoue — GIỮ
55,casual,357,158,bình thường/casual
56,Action,356,76,Hành động
57,Fix,353,62,Sửa
58,dinner,352,108,bữa tối
59,agenda,342,88,chương trình/danh sách việc
60,confirm,339,125,xác nhận
61,signal,338,85,tín hiệu
62,trao,337,122,trao
63,HCMC,337,46,HCMC — GIỮ
64,action,337,97,hành động
65,HACCP,337,43,HACCP — GIỮ
66,Minh,326,49,Minh — GIỮ
67,Tuy,326,103,Tuy
68,Plan,325,61,Kế hoạch
69,ben,321,94,bên
70,CRIT,320,55,CRIT — GIỮ
71,Notion,319,66,Notion (ứng dụng) — GIỮ
72,SSW1,319,60,SSW1 — GIỮ
73,keigo,318,74,keigo/kính ngữ
74,good_example,316,284,ví dụ tốt
75,follow,315,105,theo dõi
76,Aiko,311,72,Aiko — GIỮ
77,Teineigo,308,10,Tinh tế/Lịch sự
78,coi,303,120,coi
79,Sato,300,91,Sato — GIỮ
80,ban,299,114,ban
81,khu,299,76,khu vực
82,Sakurai,297,67,Sakurai — GIỮ
83,Kawakami,295,49,Kawakami — GIỮ
84,Saitama,294,47,Saitama — GIỮ
85,minh,293,129,minh
86,phone,292,95,điện thoại
87,song,291,119,song/đôi
88,owner,284,52,chủ sở hữu
89,firm,284,169,công ty/hãng
90,tranh,283,99,tranh
91,template,280,105,mẫu
92,khen,280,99,khen
93,PMO,275,95,PMO — GIỮ
94,SLA,274,51,SLA — GIỮ
95,LyThuyet,273,11,Lý thuyết
96,onsite,272,58,tại chỗ/onsite
97,json,271,92,JSON — GIỮ
98,ngon,271,81,ngon
99,khai,270,108,khai
100,channel,269,45,kênh
101,fuon,265,71,fuon
102,nguy,264,73,nguy
103,ROI,259,51,ROI (Return on Investment) — GIỮ
104,fix,258,113,sửa
105,flow,257,97,luồng/quy trình
106,tuan_leader,256,74,tuan_leader
107,Yamato,254,46,Yamato — GIỮ
108,Hou,253,30,Hou
