Word,Count,Files,First Location
"ruby",41435,226,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:19"
"text",8278,169,"reading_collection/READING_SPEC.md:23"
"sentence",7826,403,"reading_collection/READING_SPEC.md:31"
"trong",7033,822,"03_meeting/README.md:72"
"cho",6630,915,"04_horenso/README.md:5"
"khi",5575,789,"03_meeting/README.md:16"
"translation",5201,117,"03_meeting/README.md:100"
"speaker",5086,359,"02_phone/README.md:50"
"text_vi",4881,95,"reading_collection/READING_SPEC.md:79"
"guide",4880,135,"reading_collection/READING_SPEC.md:33"
"chunks",4837,115,"reading_collection/READING_SPEC.md:32"
"anh",4747,680,"03_meeting/README.md:71"
"quan",4584,725,"reading_collection/READING_SPEC.md:173"
"sau",3782,797,"02_phone/README.md:35"
"reading",3537,128,"reading_collection/READING_SPEC.md:26"
"meaning",3436,100,"reading_collection/READING_SPEC.md:26"
"Speaker",3357,520,"02_phone/README.md:58"
"Rule",3263,515,"02_phone/README.md:54"
"word",3217,102,"reading_collection/READING_SPEC.md:26"
"xin",3074,531,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:52"
"order",3041,76,"07_visit_card/nội_dung/_front_matter.md:5"
"sentence_translation",2992,285,"02_phone/meta/STATUS.md:43"
"text_translation",2880,24,"11_jisshusei_shokuhin/t04_line_operation/t04_line_operation_BaiTap.json:1"
"explanation",2849,435,"reading_collection/READING_SPEC.md:84"
"Hoa",2819,103,"18_thai_year5/t12_5nen_closure/t12_5nenClosure_HoiThoai.md:146"
"theo",2815,556,"02_phone/README.md:129"
"tone",2761,373,"02_phone/README.md:50"
"level",2692,578,"03_meeting/README.md:43"
"gender",2624,305,"02_phone/README.md:50"
"line_id",2502,290,"02_phone/README.md:50"
"speaker_role",2486,286,"02_phone/meta/REVIEW_FINDINGS_v1.1.md:249"
"key",2440,74,"reading_collection/READING_SPEC.md:115"
"Tanaka",2428,338,"04_horenso/README.md:40"
"Mai",2417,253,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:3"
"Anh",2358,552,"reading_collection/READING_SPEC.md:24"
"qua",2324,525,"reading_collection/READING_SPEC.md:164"
"Phase",2308,314,"reading_collection/n3_basic_drafts/N3_BASIC_PLAN_PART2.md:826"
"zun",2298,331,"02_phone/README.md:63"
"rule",2166,353,"02_phone/README.md:22"
"male",2166,294,"11_jisshusei_shokuhin/_pipeline/09_council/linguist.md:15"
"tin",2159,384,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:33"
"cao",1986,398,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:21"
"Khi",1912,390,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:107"
"Scene",1890,243,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:15"
"category",1852,91,"11_jisshusei_shokuhin/_pipeline/10_revision_log.md:54"
"thay",1818,378,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:20"
"gian",1678,397,"25_dai_brse_year1/t01_brse_first_day/t01_BrseFirstDay_HoiThoai.md:64"
"gia",1677,339,"03_meeting/README.md:3"
"mail",1673,233,"07_visit_card/output/_combined.md:551"
"Linh",1579,283,"04_horenso/README.md:41"
"choices",1564,54,"23_dai_daigaku_year3/t10_architecture_design/t10_ArchitectureDesign_HoiThoai.md:28"
"question_vn",1560,50,"11_jisshusei_shokuhin/t04_line_operation/t04_line_operation_BaiTap.json:1"
"tay",1552,265,"25_dai_brse_year1/t11_hana_2tuoi_birthday/t11_Hana2tuoiBirthday_HoiThoai.md:90"
"ngay",1550,431,"25_dai_brse_year1/t05_brse_client_meeting/t05_BrseClientMeeting_HoiThoai.md:114"
"nay",1529,433,"25_dai_brse_year1/t10_brse_overload_crisis/t10_BrseOverloadCrisis_HoiThoai.md:63"
"sai",1474,345,"reading_collection/READING_SPEC.md:200"
"sinh",1441,311,"reading_collection/READING_SPEC.md:24"
"con",1412,251,"02_phone/README.md:45"
"formal",1377,446,"03_meeting/README.md:71"
"xem",1369,399,"02_phone/README.md:130"
"sao",1364,503,"reading_collection/READING_SPEC.md:191"
"title",1320,532,"reading_collection/READING_SPEC.md:16"
"sang",1318,457,"reading_collection/READING_SPEC.md:199"
"question",1316,139,"reading_collection/READING_SPEC.md:76"
"hai",1313,291,"02_phone/README.md:52"
"question_jp",1301,42,"23_dai_daigaku_year3/t10_architecture_design/t10_ArchitectureDesign_HoiThoai.md:28"
"nghe",1299,355,"02_phone/README.md:130"
