STT,Từ Romaji,Nghĩa Nhật,Số lần,Số file,Trạng thái
1,Tokyo,Tokyo,1152,214,GIỮ NGUYÊN
2,Osaka,Osaka,825,190,GIỮ NGUYÊN
3,san,anh/chị/em,552,132,GIỮ NGUYÊN
4,Uchi,trong/nội bộ,509,20,GIỮ NGUYÊN
5,Soto,ngoài/bên ngoài,491,20,GIỮ NGUYÊN
6,Saitama,Saitama,294,47,GIỮ NGUYÊN
7,Hokkaido,Hokkaido,252,46,GIỮ NGUYÊN
8,Kyoto,Kyoto,242,50,GIỮ NGUYÊN
9,Hiroshima,Hiroshima,211,35,GIỮ NGUYÊN
10,Nagoya,Nagoya,202,66,GIỮ NGUYÊN
11,uchi,trong/nội bộ,191,18,GIỮ NGUYÊN
12,Okinawa,Okinawa,184,26,GIỮ NGUYÊN
13,ringi,xoay vòng (tài liệu),161,36,GIỮ NGUYÊN
14,sensei,thầy cô,150,64,GIỮ NGUYÊN
15,kohai,hậu bối,108,40,GIỮ NGUYÊN
16,soto,ngoài/bên ngoài,108,15,GIỮ NGUYÊN
17,shoukai,giới thiệu,98,11,GIỮ NGUYÊN
18,senpai,tiền bối,97,52,GIỮ NGUYÊN
19,MoU,đã/nữa,82,11,GIỮ NGUYÊN
20,Sakura,hoa anh đào,80,18,GIỮ NGUYÊN
21,chu,trung,70,49,GIỮ NGUYÊN
22,soba,bên cạnh,59,21,GIỮ NGUYÊN
23,man,mười nghìn,52,28,GIỮ NGUYÊN
24,kun,em/bạn (thân mật nam),51,20,GIỮ NGUYÊN
25,Yokohama,Yokohama,41,13,GIỮ NGUYÊN
26,Kobe,Kobe,40,20,GIỮ NGUYÊN
27,chan,em/bé (thân mật),38,20,GIỮ NGUYÊN
28,orimasu,ở (lịch sự),19,9,GIỮ NGUYÊN
29,suru,làm,18,10,GIỮ NGUYÊN
30,sen,một nghìn,18,12,GIỮ NGUYÊN
31,desu,là/phải,17,11,GIỮ NGUYÊN
32,masu,kết thúc động từ (lịch sự),17,7,GIỮ NGUYÊN
33,Man,mười nghìn,16,10,GIỮ NGUYÊN
34,Sensei,thầy cô,15,13,GIỮ NGUYÊN
35,agemasu,cho (lịch sự),15,3,GIỮ NGUYÊN
36,Soba,bên cạnh,14,10,GIỮ NGUYÊN
37,gozaimasu,là/có (cực lịch sự),13,7,GIỮ NGUYÊN
38,Shokuhin,thực phẩm,12,5,GIỮ NGUYÊN
39,Kohai,hậu bối,12,10,GIỮ NGUYÊN
40,Ringi,xoay vòng (tài liệu),12,5,GIỮ NGUYÊN
41,mae,trước,11,8,GIỮ NGUYÊN
42,sakura,hoa anh đào,10,8,GIỮ NGUYÊN
43,Chu,trung,10,9,GIỮ NGUYÊN
44,Gogo,buổi chiều,9,6,GIỮ NGUYÊN
45,osaka,Osaka,9,6,GIỮ NGUYÊN
46,yori,hơn,9,3,GIỮ NGUYÊN
47,are,cái/người kia,9,1,GIỮ NGUYÊN
48,Fuji,núi Phú Sĩ,8,7,GIỮ NGUYÊN
49,Naka,bên trong,8,4,GIỮ NGUYÊN
50,morau,nhận,8,5,GIỮ NGUYÊN
51,UCHI,trong/nội bộ,8,6,GIỮ NGUYÊN
52,Sen,một nghìn,7,2,GIỮ NGUYÊN
53,Haha,mẹ,7,7,GIỮ NGUYÊN
54,Senpai,tiền bối,6,6,GIỮ NGUYÊN
55,Ichi,một,6,3,GIỮ NGUYÊN
56,Tomodachi,bạn,6,2,GIỮ NGUYÊN
57,nai,không/không có,5,2,GIỮ NGUYÊN
58,soudan,hội ý kiến,4,3,GIỮ NGUYÊN
59,shi,bốn,4,4,GIỮ NGUYÊN
60,TOKYO,Tokyo,4,3,GIỮ NGUYÊN
61,shokutaku,bàn ăn,3,1,GIỮ NGUYÊN
62,shou,nhỏ/thương,3,3,GIỮ NGUYÊN
63,Mada,chưa/vẫn còn,3,3,GIỮ NGUYÊN
64,mada,chưa/vẫn còn,3,3,GIỮ NGUYÊN
65,nomu,uống,3,2,GIỮ NGUYÊN
66,taberu,ăn,3,2,GIỮ NGUYÊN
67,miru,xem,3,2,GIỮ NGUYÊN
68,iru,sở hữu,3,1,GIỮ NGUYÊN
69,kureru,cho,3,3,GIỮ NGUYÊN
70,kaisha,công ty,3,1,GIỮ NGUYÊN
71,ageru,cho,3,3,GIỮ NGUYÊN
72,SOTO,ngoài/bên ngoài,3,3,GIỮ NGUYÊN
73,sama,ông/bà (tôn kính),3,2,GIỮ NGUYÊN
74,mou,đã/nữa,2,2,GIỮ NGUYÊN
75,HOKKAIDO,Hokkaido,2,2,GIỮ NGUYÊN
76,OSAKA,Osaka,2,2,GIỮ NGUYÊN
77,KYOTO,Kyoto,2,2,GIỮ NGUYÊN
78,HIROSHIMA,Hiroshima,2,2,GIỮ NGUYÊN
79,OKINAWA,Okinawa,2,2,GIỮ NGUYÊN
80,Nai,không/không có,2,1,GIỮ NGUYÊN
81,iku,đi,2,1,GIỮ NGUYÊN
82,kuru,đến,2,1,GIỮ NGUYÊN
83,yomu,đọc,2,1,GIỮ NGUYÊN
84,kiku,nghe,2,1,GIỮ NGUYÊN
85,naru,trở thành,2,1,GIỮ NGUYÊN
86,deshita,đã là,2,1,GIỮ NGUYÊN
87,Shi,bốn,1,1,GIỮ NGUYÊN
88,youin,yếu tố,1,1,GIỮ NGUYÊN
89,shouhin,hàng hóa,1,1,GIỮ NGUYÊN
90,ginkou,ngân hàng,1,1,GIỮ NGUYÊN
91,tori,chim,1,1,GIỮ NGUYÊN
92,Kaisha,công ty,1,1,GIỮ NGUYÊN
93,shokuhin,thực phẩm,1,1,GIỮ NGUYÊN
94,yougo,thuật ngữ,1,1,GIỮ NGUYÊN
