DANH SÁCH TỪ ROMAJI NHẬT (GIỮ NGUYÊN)
====================================================================================================

Tổng từ Romaji Nhật: 115
Ngày tạo: 2026-04-30

STT  Từ Romaji            Nghĩa Nhật                               Lần      File  
----------------------------------------------------------------------------------------------------
1    Tokyo                Tokyo                                    1152     214   
2    Osaka                Osaka                                    825      190   
3    san                  anh/chị/em                               552      132   
4    Uchi                 trong/nội bộ                             509      20    
5    Soto                 ngoài/bên ngoài                          491      20    
6    Saitama              Saitama                                  294      47    
7    Hokkaido             Hokkaido                                 252      46    
8    Kyoto                Kyoto                                    242      50    
9    Hiroshima            Hiroshima                                211      35    
10   Nagoya               Nagoya                                   202      66    
11   uchi                 trong/nội bộ                             191      18    
12   Okinawa              Okinawa                                  184      26    
13   ringi                xoay vòng (tài liệu)                     161      36    
14   sensei               thầy cô                                  150      64    
15   kohai                hậu bối                                  108      40    
16   soto                 ngoài/bên ngoài                          108      15    
17   shoukai              giới thiệu                               98       11    
18   senpai               tiền bối                                 97       52    
19   MoU                  đã/nữa                                   82       11    
20   Sakura               hoa anh đào                              80       18    
21   chu                  trung                                    70       49    
22   soba                 bên cạnh                                 59       21    
23   man                  mười nghìn                               52       28    
24   kun                  em/bạn (thân mật nam)                    51       20    
25   Yokohama             Yokohama                                 41       13    
26   Kobe                 Kobe                                     40       20    
27   chan                 em/bé (thân mật)                         38       20    
28   orimasu              ở (lịch sự)                              19       9     
29   suru                 làm                                      18       10    
30   sen                  một nghìn                                18       12    
31   desu                 là/phải                                  17       11    
32   masu                 kết thúc động từ (lịch sự)               17       7     
33   Man                  mười nghìn                               16       10    
34   Sensei               thầy cô                                  15       13    
35   agemasu              cho (lịch sự)                            15       3     
36   Soba                 bên cạnh                                 14       10    
37   gozaimasu            là/có (cực lịch sự)                      13       7     
38   Shokuhin             thực phẩm                                12       5     
39   Kohai                hậu bối                                  12       10    
40   Ringi                xoay vòng (tài liệu)                     12       5     
41   mae                  trước                                    11       8     
42   sakura               hoa anh đào                              10       8     
43   Chu                  trung                                    10       9     
44   Gogo                 buổi chiều                               9        6     
45   osaka                Osaka                                    9        6     
46   yori                 hơn                                      9        3     
47   are                  cái/người kia                            9        1     
48   Fuji                 núi Phú Sĩ                               8        7     
49   Naka                 bên trong                                8        4     
50   morau                nhận                                     8        5     
51   UCHI                 trong/nội bộ                             8        6     
52   Sen                  một nghìn                                7        2     
53   Haha                 mẹ                                       7        7     
54   Senpai               tiền bối                                 6        6     
55   Ichi                 một                                      6        3     
56   Tomodachi            bạn                                      6        2     
57   nai                  không/không có                           5        2     
58   soudan               hội ý kiến                               4        3     
59   shi                  bốn                                      4        4     
60   TOKYO                Tokyo                                    4        3     
61   shokutaku            bàn ăn                                   3        1     
62   shou                 nhỏ/thương                               3        3     
63   Mada                 chưa/vẫn còn                             3        3     
64   mada                 chưa/vẫn còn                             3        3     
65   nomu                 uống                                     3        2     
66   taberu               ăn                                       3        2     
67   miru                 xem                                      3        2     
68   iru                  sở hữu                                   3        1     
69   kureru               cho                                      3        3     
70   kaisha               công ty                                  3        1     
71   ageru                cho                                      3        3     
72   SOTO                 ngoài/bên ngoài                          3        3     
73   sama                 ông/bà (tôn kính)                        3        2     
74   mou                  đã/nữa                                   2        2     
75   HOKKAIDO             Hokkaido                                 2        2     
76   OSAKA                Osaka                                    2        2     
77   KYOTO                Kyoto                                    2        2     
78   HIROSHIMA            Hiroshima                                2        2     
79   OKINAWA              Okinawa                                  2        2     
80   Nai                  không/không có                           2        1     
81   iku                  đi                                       2        1     
82   kuru                 đến                                      2        1     
83   yomu                 đọc                                      2        1     
84   kiku                 nghe                                     2        1     
85   naru                 trở thành                                2        1     
86   deshita              đã là                                    2        1     
87   Shi                  bốn                                      1        1     
88   youin                yếu tố                                   1        1     
89   shouhin              hàng hóa                                 1        1     
90   ginkou               ngân hàng                                1        1     
91   tori                 chim                                     1        1     
92   Kaisha               công ty                                  1        1     
93   shokuhin             thực phẩm                                1        1     
94   yougo                thuật ngữ                                1        1     
95   daiji                quan trọng                               1        1     
96   Mou                  đã/nữa                                   1        1     
97   shougatsu            tháng giêng                              1        1     
98   shika                chỉ/không gì khác                        1        1     
99   Shika                chỉ/không gì khác                        1        1     
100  made                 đến                                      1        1     
101  kaku                 viết                                     1        1     
102  hanasu               nói                                      1        1     
103  mata                 lại/nữa                                  1        1     
104  oru                  ở (chính thức)                           1        1     
105  ichi                 một                                      1        1     
106  bakari               chỉ                                      1        1     
107  seikaku              tính cách                                1        1     
108  Are                  cái/người kia                            1        1     
109  Akatsuki             bình minh                                1        1     
110  naka                 bên trong                                1        1     
111  Neko                 mèo                                      1        1     
112  Yoru                 đêm                                      1        1     
113  Masu                 kết thúc động từ (lịch sự)               1        1     
114  San                  anh/chị/em                               1        1     
115  nagoya               Nagoya                                   1        1     
----------------------------------------------------------------------------------------------------

GHI CHÚ:
- Tất cả những từ này là Romaji Nhật (cách phiên âm tiếng Nhật bằng chữ Latin)
- PHẢI GIỮ NGUYÊN — không thay thế bằng tiếng Việt
- Ví dụ: 'aru' (có), 'kaisha' (công ty), 'sensei' (thầy cô), v.v.
